time,open,high,low,close,MA,Volume,Volume MA
1573581600,1.4605,1.462,1.4604,1.4615,1.4601111111111063,533,543.7
1573596000,1.4614,1.4638,1.4584,1.4618,1.4604999999999952,516,540.6
1573610400,1.4616,1.4631,1.4604,1.461,1.4607444444444395,560,541
1573624800,1.461,1.4647,1.4597,1.4647,1.4613111111111063,570,542.7
1573639200,1.4644,1.4658,1.4638,1.4642,1.4616333333333285,566,543.05
1573653600,1.464,1.4653,1.4626,1.4634,1.462077777777773,567,543.8
1573668000,1.4632,1.4639,1.4621,1.4623,1.462177777777773,525,541.95
1573682400,1.462,1.4697,1.4614,1.4686,1.4631222222222175,515,539.45
1573696800,1.4685,1.4713,1.4685,1.4699,1.4641555555555508,548,542.85
1573711200,1.4696,1.4719,1.4689,1.4717,1.4652888888888842,568,544.55
1573725600,1.4714,1.4754,1.4703,1.4754,1.4667999999999952,575,546.6
1573740000,1.4751,1.4769,1.4739,1.4739,1.4682333333333288,567,547.1
1573754400,1.4739,1.4746,1.4728,1.4734,1.4691999999999954,490,544.85
1573768800,1.473,1.4739,1.4706,1.4711,1.4699666666666622,526,544.65
1573783200,1.4709,1.4724,1.4706,1.4724,1.4709666666666623,540,547.3
1573797600,1.4719,1.474,1.4707,1.473,1.4721555555555512,551,549.15
1573812000,1.4729,1.4746,1.4692,1.4694,1.47224444444444,568,549.6
1573826400,1.4691,1.4697,1.4669,1.4674,1.4719666666666624,550,549.05
1573840800,1.4672,1.4674,1.4655,1.4657,1.4712999999999958,481,544.9
1574028000,1.4669,1.4681,1.4661,1.4667,1.470333333333329,441,537.85
1574042400,1.4665,1.4687,1.466,1.4682,1.4696999999999958,541,538.25
1574056800,1.468,1.4683,1.4661,1.4677,1.4690666666666623,541,539.5
1574071200,1.4675,1.4706,1.4668,1.4698,1.468922222222218,531,538.05
1574085600,1.4694,1.4702,1.4655,1.466,1.468211111111107,537,536.4
1574100000,1.4659,1.4688,1.4658,1.4685,1.4677111111111067,465,531.35
1574114400,1.4682,1.4736,1.4671,1.472,1.4679999999999955,516,528.8
